latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),precipitation (mm)
2026-04-11T00:00,3.1,0.00,0.00
2026-04-11T01:00,2.8,0.00,0.00
2026-04-11T02:00,2.4,0.00,0.00
2026-04-11T03:00,1.7,0.00,0.00
2026-04-11T04:00,1.1,0.00,0.00
2026-04-11T05:00,0.7,0.00,0.00
2026-04-11T06:00,1.1,0.00,0.00
2026-04-11T07:00,2.7,0.00,0.00
2026-04-11T08:00,4.2,0.00,0.00
2026-04-11T09:00,6.1,0.00,0.00
2026-04-11T10:00,8.3,0.00,0.00
2026-04-11T11:00,10.0,0.00,0.00
2026-04-11T12:00,11.4,0.00,0.00
2026-04-11T13:00,12.4,0.00,0.00
2026-04-11T14:00,12.8,0.00,0.00
2026-04-11T15:00,12.9,0.00,0.00
2026-04-11T16:00,12.8,0.00,0.00
2026-04-11T17:00,12.3,0.00,0.00
2026-04-11T18:00,11.4,0.00,0.00
2026-04-11T19:00,10.1,0.00,0.00
2026-04-11T20:00,8.7,0.00,0.00
2026-04-11T21:00,7.6,0.00,0.00
2026-04-11T22:00,7.0,0.00,0.00
2026-04-11T23:00,6.3,0.00,0.00
2026-04-12T00:00,5.8,0.00,0.00
2026-04-12T01:00,5.4,0.00,0.00
2026-04-12T02:00,5.2,0.00,0.00
2026-04-12T03:00,5.0,0.00,0.00
2026-04-12T04:00,5.1,0.00,0.00
2026-04-12T05:00,5.2,0.00,0.00
2026-04-12T06:00,5.7,0.00,0.00
2026-04-12T07:00,6.3,0.00,0.00
2026-04-12T08:00,7.1,0.00,0.00
2026-04-12T09:00,7.7,0.00,0.00
2026-04-12T10:00,8.1,0.30,0.30
2026-04-12T11:00,8.9,0.00,0.00
2026-04-12T12:00,9.6,0.00,0.00
2026-04-12T13:00,10.1,0.00,0.00
2026-04-12T14:00,10.5,0.00,0.00
2026-04-12T15:00,10.6,0.00,0.00
2026-04-12T16:00,10.5,0.00,0.00
2026-04-12T17:00,10.5,0.00,0.00
2026-04-12T18:00,10.3,0.00,0.00
2026-04-12T19:00,9.9,0.20,0.20
2026-04-12T20:00,9.6,0.10,0.10
2026-04-12T21:00,9.2,0.00,0.00
2026-04-12T22:00,8.9,0.40,0.40
2026-04-12T23:00,9.0,0.30,0.30
2026-04-13T00:00,8.7,0.12,0.12
2026-04-13T01:00,8.0,0.08,0.08
2026-04-13T02:00,7.4,0.10,0.10
2026-04-13T03:00,7.1,0.00,0.00
2026-04-13T04:00,6.7,0.00,0.00
2026-04-13T05:00,6.7,0.00,0.00
2026-04-13T06:00,7.0,0.00,0.00
2026-04-13T07:00,7.5,0.00,0.00
2026-04-13T08:00,8.6,0.00,0.00
2026-04-13T09:00,9.9,0.00,0.00
2026-04-13T10:00,10.5,0.30,0.30
2026-04-13T11:00,12.1,0.00,0.00
2026-04-13T12:00,14.2,0.00,0.00
2026-04-13T13:00,15.5,0.00,0.00
2026-04-13T14:00,16.4,0.00,0.00
2026-04-13T15:00,16.9,0.00,0.00
2026-04-13T16:00,16.5,0.00,0.00
