unnamed: 0,unnamed: 1,unnamed: 2,unnamed: 3,marketwise price & arrival report (09-04-2026),unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,month
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 09 Apr, 2026","Price on 08 Apr, 2026","Price on 07 Apr, 2026","Arrival on 09 Apr, 2026","Arrival on 08 Apr, 2026","Arrival on 07 Apr, 2026",1
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1982.23,2229.92,2040.79,1617.52,2170.06,1833.79,1
Cereals,Barley(Jau),2150.00,2076.13,2030.42,2071.67,2474.00,6922.68,1506.53,1
Cereals,Jowar(Sorghum),3699.00,4460.16,3840.63,4043.42,362.83,225.32,255.39,1
Cereals,Maize,2400.00,1691.91,1659.03,1664.15,26756.17,25144.95,22034.18,1
Cereals,Paddy(Common),2369.00,2532.65,2409.89,2921.39,23210.58,20521.61,28834.47,1
Cereals,Ragi(Finger Millet),4886.00,3505.95,3469.37,3254.89,280.00,425.40,140.10,1
Cereals,Wheat,2585.00,2441.77,2405.02,2420.63,203225.59,180699.65,203576.17,1
Fibre Crops,Cotton,7710.00,8440.53,8289.55,8314.12,4500.56,4362.25,4636.09,1
Oil Seeds,Copra,12100.00,20311.59,13754.21,18214.93,60.00,66.70,100.50,1
Oil Seeds,Groundnut,7263.00,6928.72,7179.74,6904.10,2835.33,3454.67,1112.10,1
Oil Seeds,Mustard,6200.00,6436.90,6236.81,6408.74,16854.89,19852.19,12513.68,1
Oil Seeds,Safflower,6540.00,5356.75,5620.33,5566.96,10.10,12.18,33.00,1
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9503.02,9754.75,10727.30,210.47,160.94,292.48,1
Oil Seeds,Soyabean,5328.00,5443.77,5440.94,5424.87,10545.32,13404.86,10647.61,1
Oil Seeds,Sunflower,7721.00,6539.22,6601.87,6656.08,935.20,1135.50,1527.00,1
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7530.82,7497.30,7567.15,2798.59,2773.22,2659.01,1
Pulses,Bengal Gram(Gram)(Whole),5875.00,5358.41,5336.62,5329.16,13588.37,12936.60,12332.82,1
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8202.48,8985.79,8052.50,223.23,372.49,261.54,1
Pulses,Green Gram(Moong)(Whole),8768.00,7977.48,7509.67,8279.21,378.47,480.55,339.18,1
Pulses,Lentil(Masur)(Whole),7000.00,6709.40,6849.76,6933.40,2849.10,2689.25,3439.71,1
Vegetables,Onion,-,1118.68,1114.02,1100.50,11556.65,21154.29,22133.48,1
Vegetables,Potato,-,585.13,601.69,562.80,29279.79,26743.09,31236.78,1
Vegetables,Tomato,-,1189.90,1274.60,1172.97,5008.08,5004.74,5579.60,1
